id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45214839,St. George Hills Studio  1,120054701,Thomas,Lisboa,Santa Maria Maior,38.71615,-9.13401,Entire home/apt,48,3,2,2021-06-20,1.76,15,176
45215368,Casa da Eira,45890478,Ana,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79672,-9.39984,Entire home/apt,180,2,0,,,3,194
45222670,Poço Novo,4972896,Rita Morais,Cascais,Cascais e Estoril,38.69783,-9.42303,Entire home/apt,111,1,1,2020-11-08,0.12,37,130
45229319,T2 CENTRAL LISBON,45155267,Filipa,Lisboa,Estrela,38.70964,-9.1715,Entire home/apt,60,5,0,,,2,159
45230477,NEW! Classy Caramel Studio ♡,61033404,Carly,Lisboa,Santo Antnio,38.72088,-9.1525,Entire home/apt,75,2,6,2021-06-24,0.66,24,356
45231245,Cozy Room 1,123896369,Sónia,Lisboa,Benfica,38.74183,-9.20221,Private room,24,2,4,2020-10-04,0.47,13,298
45233246,Charme inoubliable de Lisbonne,5196155,Léa,Lisboa,Beato,38.73513,-9.12266,Entire home/apt,54,7,0,,,2,338
45233598,Cozy Room 2,123896369,Sónia,Lisboa,Benfica,38.74291,-9.203,Private room,24,2,1,2020-10-12,0.11,13,300
45233723,Cozy Suite,123896369,Sónia,Lisboa,Benfica,38.74351,-9.20059,Private room,24,2,1,2020-10-31,0.12,13,281
45234297,Boa casa perto do rio,365413677,Ernesto,Lisboa,Alcntara,38.70523,-9.17767,Entire home/apt,265,2,0,,,1,180
45236923,Moonlight Rossio,248026373,Luis,Lisboa,Arroios,38.71616,-9.13907,Entire home/apt,70,3,2,2021-06-28,1.76,10,357
45237399,Casa do Outro Lado,45890478,Ana,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79502,-9.39797,Entire home/apt,180,2,1,2021-04-04,0.30,3,204
45238330,The Goldsmith´s Lisbon Home,137635529,Jorge,Lisboa,Estrela,38.70489,-9.16741,Entire home/apt,350,30,1,2020-09-19,0.10,4,271
45247701,Duplex apartment in Intendente with terrace,364598920,Marcelo,Lisboa,Arroios,38.72133,-9.13578,Entire home/apt,89,2,0,,,1,0
45249411,Flores Guest House - Standard Double / Twin Room,50185035,Flores,Lisboa,Misericrdia,38.71551,-9.15003,Private room,54,1,10,2021-06-25,7.89,11,347
45252707,1 Bedroom Flat 1 Station away from Charming Sintra,126419384,Inna,Sintra,Algueiro-Mem Martins,38.79654,-9.35373,Entire home/apt,25,28,0,,,1,31
45256678,Alfama Art Oasis,365239277,Sofia,Lisboa,So Vicente,38.71525,-9.1238,Entire home/apt,37,1,12,2021-07-08,1.22,2,154
45265985,The Wanderers Hideout,365749836,Ana Maria,Lisboa,Misericrdia,38.70975,-9.15073,Entire home/apt,114,2,2,2021-03-07,0.86,1,142
45268513,Stylish apt w/ exclusive 80sqm terrace for 6,7859005,Nuno,Lisboa,Arroios,38.73509,-9.14161,Entire home/apt,415,3,0,,,2,45
45269668,Lisbon Lux Chiado,6210602,"Mafalda,Paulo&Lourenço",Lisboa,Misericrdia,38.70911,-9.14426,Entire home/apt,1190,1,0,,,3,48
45270034,Habitación Doble Deluxe,325646937,Nelson,Lisboa,Arroios,38.73066,-9.14465,Private room,30,1,4,2020-10-07,0.41,8,179
45270950,Habitación Familiar Deluxe,325646937,Nelson,Lisboa,Arroios,38.73071,-9.14339,Private room,50,1,0,,,8,179
45271129,Habitación Familiar Deluxe,325646937,Nelson,Lisboa,Arroios,38.72878,-9.14317,Private room,50,1,0,,,8,179
45271172,Habitación Familiar Deluxe,325646937,Nelson,Lisboa,Arroios,38.72856,-9.1437,Private room,50,1,0,,,8,179
45280942,Spacious Estrela Apartment with Terrace,76223539,BnBird Homes,Lisboa,Estrela,38.71135,-9.16242,Entire home/apt,65,3,4,2021-01-09,0.40,88,202
45281035,Sunny Artistic ☼ Lifestyle,61033404,Carly,Lisboa,Santo Antnio,38.7199,-9.15009,Entire home/apt,130,3,3,2021-03-27,0.46,24,251
45283173,Charming D'ourique,190814174,Expandavenue,Lisboa,Campo de Ourique,38.71978,-9.1664,Private room,15,2,0,,,2,283
45283652,CCH Suites,340187554,Cenario Catita,Lisboa,Estrela,38.7068,-9.15421,Private room,55,1,0,,,4,0
45284070,comfortable apt near Estrela Garden,187958977,Dormido Rentals,Lisboa,Estrela,38.70944,-9.16083,Entire home/apt,75,3,1,2021-06-13,1,4,365
45284421,Green Garden - near Estrela Park,187958977,Dormido Rentals,Lisboa,Estrela,38.71183,-9.1652,Entire home/apt,90,3,2,2021-06-15,0.25,4,365
